Code,Description,Sell Price Exc. VAT,Sell Price Inc. VAT
DOXY100CAP,Doxycycline 100mg Oral (per capsule),0.68,0.81
DOXYPASTEPACK,Doxycycline 200mg/ml Oral Paste (per 20x 25ml syringe),246.00,295.20
DOXYTUBE,Doxycycline 200mg/ml Oral Paste (per 25ml syringe),12.30,14.76
DOXY50BOX,Doxycycline 50mg Oral (per box of 28 capsules),10.20,12.24
DOXY50CAP,Doxycycline 50mg Oral (per capsule),0.36,0.44
MARKINGS,Draw Horse Markings and Certify Official Documentation for Passport,69.68,83.62
DRYSHIPPERHIREUK,Dry Shipper Hire UK (up to 1 week) - Includes Full Tank Charging with Fresh Liquid Nitrogen,133.90,160.68
DRYSHIPPERHIREWORLDWIDE,Dry Shipper Hire Worldwide - Includes Full Tank Charging with Fresh Liquid Nitrogen,241.02,289.22
DUPHALYTEBOT,Duphalyte Solution (per 500ml bottle),43.82,52.58
EASOTIC,Easotic Ear Drops (per 10ml bottle),20.71,24.85
MICROTUBE,"Easy-Lock Microtube, flat cap, frosted, graduated 1.5ml (per 500 pack)",6.11,7.33
ECGREPORT,ECG Interpretation & Written Report (Rainbow Equine Hospital),107.59,129.11
COG,EIA COGGINS AGIDT Test (APHA) (Incl postage & packaging),25.66,30.79
EIA,EIA Serology cELISA (Rainbow Lab),17.00,20.40
COGFT,EIA Serology COGGINS (APHA) *FAST-TRACKED*,96.10,115.32
EKYFLOGYL,Ekyflogyl Topical Gel 125ml,38.04,45.65
ELASRING,Elastrator Rings (per 100 pack),1.90,2.28
EMBRYOFLUSH,Embryo Flush & Search (includes all fluids and consumables),286.00,343.20
EMBRYOTRANS,Embryo Processing & Transfer into Recipient Mare,171.60,205.92
EV1,Emergency Call-Out 1,74.98,89.98
EV2,Emergency Call-Out 2,91.05,109.26
EV3,Emergency Call-Out 3,107.12,128.54
EV4,Emergency Call-Out 4,128.54,154.25
ENGBOT,Engemycin 10% Injectable (Oxytetracycline) (per 100ml bottle),26.46,31.75
ENGML,Engemycin 10% Injectable (Oxytetracycline) (per ml),0.26,0.32
